GET /download/quotes.csv?symbols=^dji+^ixic+glm+csco+msft+mcaf+inss&format=sl1d1t1c1ohgv&ext=.csv
"^DJI",7994.87,"10/1/1997","12:41PM",+49.61,7948.45,8017.46,7945.02,N/A
"^IXIC",1690.59,"9/30/1997","12:41PM",+4.9,0,1695.99,0,N/A
"GLM",33.8125,"9/30/1997","12:18PM",+0.5,0,34.0625,33.75,536700
"CSCO",73.75,"10/1/1997","12:26PM",+0.6875,73.5,74.25,73.0625,2455900
"MSFT",134,"10/1/1997","12:26PM",+1.6875,132.5,134.5,132.25,3719600
"MCAF",53.75,"10/1/1997","12:26PM",+0.75,53.8125,54.375,53,856700
"INSS",20.75,"10/1/1997","12:22PM",+0.25,21.5,21.5,20.4375,49800
Connection closed by foreign host.
